CellType,HR,pvalue,n_samples
BM_Memory CD4 T cell,7.429915256330135e-09,0.3320964918230517,150
BM_Naive CD8 T cell,6.295948746627515,0.17938362675389935,150
BM_Naive CD4 T cell,1.0710872411819576,0.9804905084511273,150
BM_CD16 NK cell,0.6750449213958478,0.7173417532316209,150
BM_GZMK CD8 T cell,0.030102287733662757,0.40768111459884027,150
BM_Memory B cell,4.4577840941623796e-09,0.32243573825951644,150
BM_CD16 monocyte,3.28667389119774,0.043048383070165466,150
BM_PreB cell,0.4399246479787127,0.781846489436222,150
BM_MHCII low CD14 monocyte,1.4797994353525394,0.42969971852696986,150
BM_GZMB CD8 T cell,4.135573054516135e-09,0.3163521773763054,150
BM_Tissue-resident NK cell,1.5228062157782767,0.8074231902780042,150
BM_Treg cell,2.4659522447357106e-08,0.3335294819516108,150
BM_MHCII high CD14 monocyte,0.23780076423179478,0.44440256230045205,150
BM_Naive B cell,0.10362450602898408,0.5011560742523686,150
BM_MAIT cell,1.6750897788123924,0.9425493757714861,150
BM_CD56 NK cell,0.873483391081282,0.9015326817530335,150
BM_Myelocyte,8.86152228681492e-09,0.34014879488746014,150
BM_pDC,0.2960350992680689,0.5836790622056593,150
BM_Cycling preB cell,0.13521346298090597,0.551204027838174,150
BM_S100A+ preNeutrophil,4.3430080136127645,0.5128092993710038,150
BM_Megakaryocyte progenitor,1.7833586047243737e-09,0.28150305136952214,150
BM_Cycling proB cell,0.9317160853628204,0.951879580183146,150
BM_Plasma cell,0.1996436315861638,0.4779469017355341,150
BM_Cycling S100A+ preNeutrophil,8.86152228681492e-09,0.34014879488746014,150
BM_Cycling T/NK cell,8.525505878862653e-09,0.33906235397027534,150
BM_Early SOX4+ erythroblast,6.53174229781904e-09,0.32445845822828034,150
BM_Gamma delta T cell,3.905359159106211e-09,0.3179638262429294,150
BM_Hematopoietic stem cell,0.5071306133889298,0.5230202842438414,150
BM_cDC2,6.63604429838613e-09,0.3281169782652519,150
BM_Megakaryocyte,2.637591450311979,0.4550492290297088,150
BM_INF-activated T cell,8.86152228681492e-09,0.34014879488746014,150
BM_Intermediate EPCAM+ erythroblast,0.3098522856274674,0.7203004466136123,150
BM_ILC,4.844723206171503,0.13906951091483333,150
BM_Fetal HBG+ erythrocyte,0.5156383416975856,0.307814631725602,150
BM_Fibroblast,2.9547696083768122,0.05259347601020169,150
BM_Mesenchymal stromal cell,0.4127781259947733,0.49106232211302936,150
BM_Megakaryocyteâ€“erythroid progenitor,8.86152228681492e-09,0.34014879488746014,150
BM_Late hemoglobin+ erythroblast,3.8696914761213694,0.0985905330336172,150
BM_ProB cell,2.4332935084015346,0.09763151406762437,150
BM_Promyelocyte,8.86152228681492e-09,0.34014879488746014,150
BM_Cycling cDC2,2.8479577088030983e-09,0.2908999891226137,150
BM_Common myeloid progenitor,1.6992979344472183,0.7761018068295107,150
BM_Myeloid pre-pDC,8.86152228681492e-09,0.34014879488746014,150
BM_Granulocyte-monocyte progenitor,2.3227014426578365,0.42235365041204365,150
BM_Common lymphoid progenitor,8.86152228681492e-09,0.34014879488746014,150
BM_Red blood cell,7.196448485985571e-11,0.17860880004779958,150
BM_Lymphoid pre-pDC,1.2418077669160204e-08,0.34797415980177016,150
BM_Macrophage,0.04259006592524052,0.608567085135737,150
BM_cDC1,2.239743542477359e-11,0.1790140809242159,150
BM_Mast cell,1.2269488471824752,0.8830486067265495,150
